name,department,account_status,sharepoint_access,antivirus_status
Théo Fernandes,Operações,Ativo,Visitante,Atualizado
Thales Barbosa,Financeiro,Inativo,Visitante,Atualizado
Francisco Sampaio,Financeiro,Ativo,Visitante,Atualizado
Maria Silveira,Financeiro,Inativo,Membro,Atualizado
Srta. Ana Lívia Lopes,TI,Ativo,Visitante,Atualizado
Felipe Cunha,Financeiro,Ativo,Membro,Atualizado
Emanuelly Pastor,Marketing,Inativo,Visitante,Atualizado
João Vitor Moraes,Operações,Ativo,Membro,Atualizado
Renan Albuquerque,Financeiro,Ativo,Membro,Atualizado
Hadassa Jesus,TI,Inativo,Membro,Atualizado
Melissa Santos,TI,Inativo,Visitante,Atualizado
Antônio Vargas,Operações,Ativo,Membro,Quarentena
Thiago da Luz,Marketing,Inativo,Membro,Atualizado
Ana Beatriz Brito,Operações,Inativo,Owner,Quarentena
Maria Luiza Oliveira,Financeiro,Ativo,Membro,Atualizado
Nicole Melo,Marketing,Inativo,Visitante,Atualizado
Joana Siqueira,Marketing,Ativo,Owner,Quarentena
Luiz Fernando Borges,TI,Inativo,Visitante,Quarentena
Arthur Gabriel Fonseca,Financeiro,Inativo,Membro,Atualizado
Maria Cecília Duarte,Marketing,Inativo,Membro,Quarentena
João Gabriel Alves,Vendas,Ativo,Visitante,Atualizado
Vitor Gabriel Sá,Marketing,Ativo,Owner,Atualizado
Sra. Melissa Abreu,Marketing,Ativo,Membro,Quarentena
Luiz Felipe Montenegro,Marketing,Inativo,Visitante,Quarentena
Lucas Gabriel da Rosa,TI,Ativo,Visitante,Quarentena
Dr. Davi Luiz Casa Grande,Marketing,Ativo,Visitante,Quarentena
Noah Duarte,Vendas,Ativo,Membro,Quarentena
Rodrigo Pimenta,TI,Ativo,Visitante,Quarentena
Theo Gomes,Operações,Ativo,Membro,Atualizado
Benicio Rodrigues,TI,Inativo,Membro,Atualizado
Hellena da Paz,TI,Inativo,Membro,Atualizado
Dra. Maria Flor Vasconcelos,Vendas,Inativo,Visitante,Quarentena
Luiz Miguel da Paz,Vendas,Inativo,Membro,Atualizado
Dra. Ana Lívia da Cunha,Operações,Ativo,Membro,Atualizado
José Pedro Cassiano,Operações,Ativo,Visitante,Quarentena
Pedro Henrique Porto,RH,Inativo,Membro,Atualizado
Luiz Henrique Sá,Operações,Inativo,Membro,Atualizado
Srta. Bella Fonseca,Marketing,Inativo,Visitante,Atualizado
Bryan Camargo,TI,Ativo,Visitante,Atualizado
Vitor Oliveira,Marketing,Inativo,Visitante,Atualizado
Sra. Elisa Melo,Vendas,Inativo,Visitante,Quarentena
Juan Borges,Financeiro,Ativo,Visitante,Quarentena
Sophie da Paz,RH,Ativo,Visitante,Quarentena
Dr. Dom Lopes,Marketing,Ativo,Visitante,Atualizado
Dra. Maysa Monteiro,Operações,Ativo,Membro,Quarentena
Dr. Dom Monteiro,TI,Ativo,Membro,Quarentena
Otto Leão,Marketing,Inativo,Membro,Atualizado
Ryan Fonseca,Vendas,Ativo,Visitante,Atualizado
Maria Liz da Conceição,Marketing,Inativo,Membro,Quarentena
Dr. Benjamim Campos,Marketing,Ativo,Owner,Atualizado
Maria Helena Pastor,Vendas,Inativo,Membro,Quarentena
Rodrigo Pastor,Vendas,Inativo,Visitante,Atualizado
Ana Carolina Martins,Marketing,Ativo,Membro,Atualizado
Yan Fonseca,Operações,Inativo,Membro,Quarentena
Ravy Rocha,TI,Ativo,Membro,Quarentena
Stella da Mata,RH,Inativo,Visitante,Atualizado
Dr. Heitor Pimenta,TI,Inativo,Membro,Atualizado
Bryan Costela,Operações,Inativo,Membro,Atualizado
Dra. Evelyn Gonçalves,Financeiro,Ativo,Membro,Quarentena
João Siqueira,Operações,Inativo,Visitante,Quarentena
Francisco Nunes,Financeiro,Ativo,Owner,Quarentena
João Gabriel Ribeiro,RH,Inativo,Owner,Quarentena
Ravi Freitas,Operações,Inativo,Owner,Quarentena
Manuela Nunes,TI,Ativo,Visitante,Quarentena
Marina Cunha,RH,Ativo,Membro,Quarentena
Dr. Luiz Otávio Cassiano,Financeiro,Ativo,Visitante,Atualizado
Isabelly Caldeira,Operações,Ativo,Owner,Quarentena
Antonella Castro,Financeiro,Ativo,Visitante,Quarentena
Cauê Aparecida,Marketing,Inativo,Membro,Atualizado
Lorena Novais,Vendas,Inativo,Owner,Atualizado
André Andrade,Operações,Inativo,Owner,Atualizado
João Miguel Leão,RH,Inativo,Visitante,Atualizado
Rodrigo Araújo,Vendas,Inativo,Visitante,Quarentena
Larissa Aragão,Financeiro,Ativo,Owner,Quarentena
Maitê Alves,Financeiro,Inativo,Visitante,Quarentena
Gabriela Andrade,RH,Inativo,Membro,Quarentena
Renan Sales,RH,Ativo,Owner,Quarentena
Emanuel Nunes,Financeiro,Inativo,Visitante,Atualizado
Maria Fernanda Camargo,Operações,Ativo,Visitante,Atualizado
Sr. Murilo Aragão,Operações,Ativo,Membro,Quarentena
Isaque Pastor,Financeiro,Ativo,Membro,Quarentena
Dra. Fernanda da Conceição,RH,Ativo,Membro,Quarentena
Daniela Gomes,Operações,Ativo,Owner,Atualizado
Léo Silva,Vendas,Inativo,Membro,Atualizado
Sra. Ana Luiza da Costa,Operações,Ativo,Owner,Atualizado
Antônio Vasconcelos,RH,Ativo,Membro,Quarentena
Rebeca Pimenta,TI,Inativo,Membro,Quarentena
Lavínia Oliveira,RH,Ativo,Owner,Quarentena
Otávio Azevedo,Operações,Ativo,Visitante,Atualizado
Alana da Paz,Financeiro,Inativo,Membro,Quarentena
Dr. Pedro Sampaio,Operações,Ativo,Owner,Atualizado
Theo Melo,Vendas,Ativo,Membro,Quarentena
Rodrigo Silveira,TI,Inativo,Membro,Atualizado
Vicente Silveira,RH,Ativo,Owner,Atualizado
Otávio Pires,Operações,Inativo,Membro,Atualizado
Vitor Hugo Dias,Marketing,Ativo,Visitante,Atualizado
Dr. Anthony Guerra,Financeiro,Ativo,Owner,Quarentena
Maya Mendes,Financeiro,Ativo,Membro,Atualizado
Maria Fernanda Cavalcanti,TI,Ativo,Visitante,Atualizado
Alice Campos,Marketing,Ativo,Membro,Quarentena
Olivia Vasconcelos,Operações,Ativo,Owner,Quarentena
Sofia da Conceição,TI,Inativo,Visitante,Atualizado
Henry Cardoso,Financeiro,Ativo,Visitante,Atualizado
Maria Luísa Moura,Marketing,Inativo,Visitante,Quarentena
Zoe Ferreira,Marketing,Ativo,Visitante,Atualizado
Olívia Souza,Marketing,Inativo,Membro,Quarentena
Alexia Fonseca,Marketing,Ativo,Visitante,Quarentena
Maysa Cunha,RH,Ativo,Membro,Atualizado
Luiz Henrique Siqueira,Vendas,Inativo,Visitante,Quarentena
Sra. Hadassa Guerra,Financeiro,Ativo,Owner,Quarentena
Sr. Arthur Miguel Pimenta,Marketing,Ativo,Membro,Atualizado
Srta. Kamilly Pereira,Financeiro,Ativo,Owner,Quarentena
Dr. Gustavo Henrique Mendes,RH,Ativo,Membro,Quarentena
Henry Câmara,Marketing,Inativo,Owner,Atualizado
Luan Garcia,Marketing,Ativo,Owner,Atualizado
Arthur Gabriel Gonçalves,Financeiro,Inativo,Owner,Quarentena
Henry Lima,RH,Inativo,Membro,Atualizado
Benício Dias,Marketing,Inativo,Visitante,Quarentena
João Felipe Almeida,Operações,Inativo,Membro,Quarentena
Dr. Francisco Pereira,TI,Ativo,Visitante,Quarentena
Pedro Lucas Lopes,Financeiro,Inativo,Owner,Atualizado
Daniel Ribeiro,Marketing,Inativo,Visitante,Atualizado
Yago Teixeira,Marketing,Inativo,Visitante,Atualizado
Renan Oliveira,Financeiro,Ativo,Owner,Atualizado
Dra. Isabelly Melo,Operações,Inativo,Visitante,Atualizado
Luiz Felipe Mendonça,RH,Inativo,Membro,Quarentena
Maria Isis Cirino,Vendas,Ativo,Owner,Quarentena
Milena Andrade,Marketing,Ativo,Membro,Atualizado
Alana Pinto,TI,Ativo,Owner,Atualizado
Lucas Gabriel Cassiano,Vendas,Inativo,Visitante,Quarentena
Maria Eduarda Vasconcelos,Marketing,Ativo,Membro,Atualizado
Sr. Marcos Vinicius da Mata,Operações,Inativo,Membro,Quarentena
Sra. Maria Eduarda Castro,Operações,Ativo,Visitante,Quarentena
Bento Montenegro,Marketing,Ativo,Owner,Quarentena
Maria Laura Dias,RH,Ativo,Membro,Quarentena
Nina Moreira,Vendas,Ativo,Membro,Quarentena
João Pedro Fonseca,TI,Inativo,Visitante,Quarentena
Luísa Cassiano,Financeiro,Ativo,Membro,Quarentena
Thales Souza,Operações,Ativo,Owner,Quarentena
Srta. Heloísa Novais,Marketing,Ativo,Visitante,Quarentena
Sr. Lucas Cardoso,Vendas,Inativo,Membro,Atualizado
Dra. Gabriela Garcia,Operações,Inativo,Visitante,Quarentena
Dr. João Miguel Macedo,Operações,Inativo,Membro,Quarentena
Dr. Theo Alves,Marketing,Inativo,Membro,Quarentena
Srta. Sofia Campos,Operações,Ativo,Owner,Quarentena
Guilherme Campos,Operações,Inativo,Visitante,Quarentena
Lavínia Ramos,Financeiro,Inativo,Visitante,Atualizado
Eduardo Silveira,Financeiro,Inativo,Visitante,Quarentena
Ana Lívia Casa Grande,Financeiro,Ativo,Visitante,Quarentena
André Nascimento,Financeiro,Inativo,Visitante,Atualizado
Jade Silveira,Vendas,Inativo,Visitante,Atualizado
Sabrina Oliveira,TI,Ativo,Membro,Quarentena
Natália Marques,Operações,Ativo,Owner,Atualizado
Luiz Gustavo da Conceição,TI,Inativo,Visitante,Atualizado
Brayan Andrade,RH,Ativo,Owner,Atualizado
Maria Sophia Alves,Marketing,Ativo,Owner,Quarentena
Laís Teixeira,Financeiro,Ativo,Membro,Quarentena
Ísis Brito,Operações,Ativo,Owner,Quarentena
Beatriz Cassiano,Vendas,Ativo,Visitante,Quarentena
Asafe Andrade,Financeiro,Ativo,Visitante,Quarentena
Ana Vitória Costela,Financeiro,Inativo,Membro,Atualizado
Antônio Cavalcanti,Vendas,Inativo,Membro,Quarentena
Pedro Campos,TI,Inativo,Membro,Quarentena
Sr. Anthony Fonseca,Financeiro,Ativo,Owner,Quarentena
Ravi Rodrigues,TI,Ativo,Visitante,Quarentena
Ravi Lucca Aparecida,TI,Ativo,Owner,Atualizado
Manuela Lima,Operações,Inativo,Membro,Quarentena
Dr. Yan Caldeira,TI,Ativo,Owner,Quarentena
Daniel Pires,TI,Inativo,Visitante,Atualizado
Manuela Aragão,Marketing,Inativo,Visitante,Quarentena
Felipe Macedo,Operações,Inativo,Membro,Atualizado
Camila Caldeira,RH,Inativo,Membro,Quarentena
Srta. Mariana Sales,Operações,Inativo,Owner,Atualizado
Gustavo Henrique Pimenta,RH,Ativo,Owner,Atualizado
Alice Fogaça,Operações,Ativo,Membro,Atualizado
Anna Liz Melo,Financeiro,Ativo,Visitante,Quarentena
Hadassa Mendes,RH,Ativo,Membro,Quarentena
Nicolas Freitas,TI,Ativo,Membro,Atualizado
Sr. João Guilherme Azevedo,Financeiro,Ativo,Owner,Quarentena
Isabel Souza,Vendas,Inativo,Owner,Quarentena
Ester Leão,TI,Inativo,Membro,Atualizado
Bruno Santos,Marketing,Ativo,Owner,Quarentena
Vitor Gabriel Nunes,Vendas,Inativo,Visitante,Atualizado
Dr. Lucca Nunes,RH,Ativo,Owner,Atualizado
Pedro Lucas Barbosa,RH,Inativo,Membro,Quarentena
Maria Fernanda Pimenta,TI,Ativo,Membro,Quarentena
Henrique Azevedo,RH,Ativo,Owner,Quarentena
Matteo Cardoso,Vendas,Ativo,Membro,Quarentena
Yasmin Casa Grande,RH,Inativo,Visitante,Quarentena
Augusto Cavalcante,Marketing,Ativo,Visitante,Quarentena
Benício Nascimento,RH,Inativo,Owner,Quarentena
Enzo Gabriel Câmara,Financeiro,Ativo,Membro,Quarentena
Alana Araújo,Marketing,Ativo,Visitante,Atualizado
Bento Nogueira,Financeiro,Ativo,Membro,Quarentena
Maria Julia Teixeira,Vendas,Ativo,Visitante,Quarentena
Mathias Farias,Operações,Inativo,Owner,Quarentena
Rebeca Rodrigues,Operações,Inativo,Visitante,Atualizado
Theo da Luz,Vendas,Inativo,Visitante,Quarentena
Ana Carolina Campos,TI,Inativo,Membro,Quarentena
Isis Cirino,Vendas,Ativo,Visitante,Quarentena
Ana Júlia Carvalho,Operações,Inativo,Membro,Quarentena
Eloah Dias,RH,Ativo,Membro,Quarentena
Maya Rodrigues,Marketing,Ativo,Owner,Atualizado
Ana Carolina Martins,Operações,Inativo,Membro,Atualizado
Hellena Cardoso,RH,Inativo,Membro,Quarentena
Giovanna Castro,Vendas,Ativo,Membro,Atualizado
Luiz Fernando Nascimento,TI,Inativo,Visitante,Quarentena
Leandro Fogaça,Marketing,Inativo,Membro,Quarentena
Pietra Nunes,TI,Inativo,Membro,Quarentena
Maria Liz Marques,Vendas,Inativo,Membro,Quarentena
Beatriz Dias,Operações,Ativo,Owner,Quarentena
Benjamin Martins,Vendas,Ativo,Owner,Atualizado
Sr. Yago Sales,Vendas,Ativo,Membro,Atualizado
Dante Ribeiro,Financeiro,Inativo,Membro,Quarentena
Lucca Sales,Financeiro,Inativo,Visitante,Quarentena
Heloísa Casa Grande,RH,Inativo,Owner,Atualizado
Heitor Almeida,Vendas,Ativo,Membro,Atualizado
Paulo Lopes,Financeiro,Ativo,Visitante,Quarentena
Luana Mendonça,RH,Inativo,Visitante,Quarentena
Murilo Cunha,RH,Inativo,Membro,Quarentena
Sra. Ana Vargas,RH,Inativo,Visitante,Quarentena
Luiz Henrique da Rocha,Vendas,Ativo,Visitante,Quarentena
Valentina Gonçalves,Financeiro,Inativo,Visitante,Atualizado
Maria Luísa Moraes,TI,Inativo,Membro,Quarentena
Hellena Rios,TI,Inativo,Membro,Atualizado
Dra. Mirella Rios,Financeiro,Inativo,Visitante,Quarentena
Heitor Pastor,Vendas,Ativo,Owner,Atualizado
Mariane Garcia,Vendas,Inativo,Membro,Quarentena
Juan Pinto,RH,Inativo,Visitante,Atualizado
Dr. Gustavo Henrique Moraes,Financeiro,Ativo,Membro,Atualizado
Vitor Gomes,TI,Ativo,Visitante,Atualizado
Lorena Duarte,RH,Ativo,Visitante,Atualizado
Samuel Silveira,Operações,Inativo,Visitante,Atualizado
Liam Gomes,RH,Inativo,Membro,Quarentena
Dr. Vitor Hugo Araújo,Operações,Ativo,Owner,Atualizado
Dra. Lavínia Alves,TI,Ativo,Owner,Atualizado
Mariane Fonseca,RH,Ativo,Membro,Quarentena
Sr. Emanuel Moura,Marketing,Ativo,Visitante,Atualizado
Sr. Diego Macedo,TI,Ativo,Membro,Atualizado
Arthur Fogaça,Operações,Inativo,Visitante,Quarentena
Henry Caldeira,RH,Ativo,Membro,Quarentena
Bryan Souza,Marketing,Ativo,Membro,Atualizado
Alexia Novaes,Operações,Ativo,Owner,Atualizado
Henrique Pinto,Financeiro,Ativo,Membro,Quarentena
Henry Aragão,TI,Ativo,Membro,Atualizado
Srta. Clara Gonçalves,TI,Inativo,Membro,Atualizado
Fernando Brito,Financeiro,Ativo,Visitante,Atualizado
Luísa Fogaça,RH,Inativo,Visitante,Atualizado
Eloá Peixoto,TI,Ativo,Owner,Atualizado
Allana Costa,Vendas,Inativo,Visitante,Atualizado
Raul Fogaça,Marketing,Inativo,Membro,Atualizado
Vitor Gabriel Silva,Financeiro,Ativo,Membro,Atualizado
Heloísa Cavalcante,Operações,Inativo,Visitante,Atualizado
Sr. Luiz Fernando da Cruz,Operações,Ativo,Membro,Atualizado
Dr. Gael Henrique Rezende,Financeiro,Ativo,Membro,Atualizado
Lorenzo Fonseca,TI,Inativo,Membro,Quarentena
Ana Beatriz Teixeira,Vendas,Ativo,Visitante,Atualizado
Maria Monteiro,TI,Ativo,Membro,Quarentena
Joana Fogaça,RH,Inativo,Membro,Quarentena
Miguel Barros,Financeiro,Ativo,Owner,Atualizado
Anthony Gabriel Rodrigues,Operações,Ativo,Membro,Atualizado
Maria Vitória Pimenta,Marketing,Ativo,Visitante,Quarentena
Henry das Neves,Marketing,Ativo,Visitante,Atualizado
Liz da Mota,Marketing,Inativo,Membro,Atualizado
Isaac da Cruz,Operações,Ativo,Visitante,Atualizado
Luigi Nascimento,Marketing,Ativo,Visitante,Quarentena
Alícia Albuquerque,Vendas,Inativo,Visitante,Atualizado
Elisa Cavalcanti,TI,Inativo,Visitante,Quarentena
Nicolas Alves,RH,Inativo,Visitante,Quarentena
Rhavi Macedo,Financeiro,Inativo,Visitante,Quarentena
Stella das Neves,Financeiro,Ativo,Visitante,Atualizado
Mirella Ribeiro,Vendas,Inativo,Membro,Atualizado
Yan Pires,Financeiro,Inativo,Visitante,Quarentena
Brayan Camargo,Financeiro,Ativo,Membro,Quarentena
Sr. Fernando da Cunha,Operações,Inativo,Membro,Quarentena
Lorenzo Moraes,Marketing,Ativo,Owner,Quarentena
Sr. João Vitor Santos,Marketing,Ativo,Owner,Atualizado
Dr. Calebe das Neves,TI,Ativo,Visitante,Quarentena
Pietro Cirino,TI,Inativo,Membro,Atualizado
Cecília Cirino,Operações,Inativo,Visitante,Quarentena
Daniel Novais,Vendas,Ativo,Membro,Atualizado
Joaquim Aragão,Vendas,Inativo,Visitante,Quarentena
Luiz Felipe Porto,Vendas,Ativo,Visitante,Quarentena
Guilherme Rocha,TI,Inativo,Membro,Atualizado
Luna Rios,Marketing,Ativo,Visitante,Atualizado
Dr. Pedro Miguel Dias,Operações,Ativo,Owner,Atualizado
Sra. Luna Brito,TI,Inativo,Owner,Quarentena
Murilo Garcia,Operações,Ativo,Owner,Atualizado
João Miguel Costa,TI,Ativo,Owner,Quarentena
Daniel Teixeira,Operações,Ativo,Owner,Atualizado
Daniela Cavalcante,Operações,Ativo,Owner,Atualizado
Pedro Lucas das Neves,Marketing,Ativo,Owner,Atualizado
Isabel Gomes,TI,Inativo,Owner,Quarentena
João Vitor Sampaio,Vendas,Inativo,Membro,Quarentena
Joaquim Cirino,Financeiro,Inativo,Visitante,Quarentena
Sr. Bernardo Moreira,TI,Inativo,Membro,Atualizado
Julia Andrade,Vendas,Ativo,Visitante,Quarentena
Léo Porto,TI,Inativo,Membro,Quarentena
Luara Cavalcante,Vendas,Ativo,Owner,Atualizado
Paulo Alves,Operações,Inativo,Membro,Atualizado
Giovanna Mendonça,RH,Inativo,Membro,Quarentena
Cecilia Borges,Vendas,Inativo,Visitante,Atualizado
Nicole Teixeira,Financeiro,Ativo,Owner,Quarentena
Luiz Otávio Sá,TI,Inativo,Visitante,Atualizado
Maria Nogueira,Operações,Ativo,Visitante,Quarentena
Giovanna Sales,Vendas,Inativo,Owner,Quarentena
Maria Isis Marques,Vendas,Ativo,Membro,Quarentena
Eloah Pinto,Marketing,Inativo,Visitante,Atualizado
Yasmin Moura,Financeiro,Inativo,Visitante,Atualizado
Renan Novaes,RH,Ativo,Membro,Quarentena
Théo Cavalcanti,Vendas,Inativo,Visitante,Quarentena
Nina Azevedo,Vendas,Inativo,Membro,Quarentena
Leandro Gomes,TI,Inativo,Visitante,Quarentena
André Castro,TI,Inativo,Visitante,Atualizado
Gabrielly Vieira,Marketing,Inativo,Visitante,Quarentena
Dr. Lucas Dias,RH,Ativo,Visitante,Atualizado
Leonardo da Costa,Marketing,Inativo,Membro,Atualizado
Ryan Barros,Operações,Inativo,Visitante,Quarentena
Vinícius Costela,RH,Ativo,Owner,Quarentena
Mirella Brito,Marketing,Inativo,Membro,Atualizado
Benjamin da Rocha,Marketing,Inativo,Visitante,Atualizado
Alícia Sampaio,Financeiro,Inativo,Membro,Quarentena
Jade Nunes,Operações,Ativo,Visitante,Atualizado
João Pedro Dias,Financeiro,Ativo,Visitante,Atualizado
Sr. Matheus Teixeira,RH,Ativo,Visitante,Atualizado
Ana Sophia Mendonça,TI,Ativo,Visitante,Quarentena
Maria Luiza Nogueira,RH,Ativo,Visitante,Quarentena
Maria Isis Gonçalves,Operações,Ativo,Visitante,Quarentena
Maria Julia Albuquerque,Financeiro,Inativo,Visitante,Quarentena
Dra. Daniela Carvalho,Financeiro,Inativo,Membro,Quarentena
Eduarda Ferreira,Operações,Ativo,Visitante,Quarentena
Igor da Cruz,Operações,Inativo,Membro,Atualizado
Pedro Henrique Duarte,Financeiro,Ativo,Membro,Quarentena
Davi Lucca Moreira,Marketing,Inativo,Visitante,Atualizado
José Costela,Financeiro,Ativo,Membro,Quarentena
Davi Lucas da Luz,TI,Inativo,Membro,Atualizado
Yago Nogueira,Vendas,Inativo,Membro,Quarentena
Evelyn Borges,Financeiro,Inativo,Visitante,Atualizado
Fernando Moreira,Vendas,Ativo,Owner,Quarentena
Lara Nunes,Marketing,Inativo,Visitante,Quarentena
Raul Macedo,TI,Ativo,Membro,Atualizado
Elisa Aparecida,Marketing,Ativo,Owner,Atualizado
Isabelly Ferreira,Financeiro,Ativo,Membro,Atualizado
Arthur Martins,Financeiro,Ativo,Membro,Quarentena
Caleb Aparecida,TI,Ativo,Owner,Atualizado
Letícia Porto,Financeiro,Inativo,Visitante,Quarentena
Maria Helena Novaes,RH,Inativo,Membro,Atualizado
Sabrina Rodrigues,Financeiro,Inativo,Membro,Quarentena
João Gabriel Barbosa,Marketing,Inativo,Visitante,Atualizado
Carlos Eduardo Borges,Operações,Inativo,Visitante,Atualizado
Samuel Borges,Marketing,Ativo,Owner,Quarentena
Zoe Sá,Vendas,Ativo,Owner,Atualizado
Maria Eduarda Aragão,Marketing,Inativo,Visitante,Quarentena
Maitê Almeida,Operações,Ativo,Visitante,Quarentena
Eloá Fonseca,Financeiro,Ativo,Membro,Atualizado
Srta. Isabela Novaes,Vendas,Ativo,Membro,Quarentena
Diego Castro,Operações,Inativo,Visitante,Atualizado
João Guerra,Vendas,Inativo,Visitante,Atualizado
Ana Clara Gomes,Marketing,Ativo,Membro,Atualizado
Vitor Gabriel Mendonça,RH,Inativo,Visitante,Quarentena
Lucas Aparecida,Marketing,Inativo,Membro,Quarentena
Sr. Pedro Lucas Rezende,Vendas,Ativo,Owner,Atualizado
Zoe Moura,Operações,Ativo,Membro,Atualizado
Julia Fernandes,TI,Inativo,Membro,Atualizado
Rhavi Guerra,RH,Ativo,Visitante,Atualizado
Bryan Sampaio,TI,Inativo,Visitante,Quarentena
Cauã Martins,Operações,Ativo,Visitante,Atualizado
Enrico Oliveira,Financeiro,Inativo,Visitante,Atualizado
Yasmin Guerra,Operações,Ativo,Owner,Atualizado
Dra. Caroline Monteiro,Vendas,Ativo,Visitante,Quarentena
Diogo Pereira,Vendas,Ativo,Visitante,Atualizado
Maysa Câmara,Vendas,Inativo,Membro,Quarentena
Isabela Sampaio,Vendas,Inativo,Visitante,Atualizado
Yan Fernandes,TI,Inativo,Membro,Atualizado
Bernardo Barros,Vendas,Ativo,Visitante,Atualizado
Gabriel Rocha,Marketing,Inativo,Visitante,Atualizado
Otto Azevedo,TI,Inativo,Membro,Atualizado
Davi Lucca Macedo,Financeiro,Ativo,Visitante,Atualizado
Benjamin Cirino,Marketing,Ativo,Membro,Atualizado
Beatriz Viana,Marketing,Inativo,Membro,Quarentena
Levi Moreira,RH,Inativo,Membro,Atualizado
Felipe Jesus,Financeiro,Ativo,Owner,Quarentena
Diogo da Rosa,Vendas,Inativo,Visitante,Atualizado
Henry Sampaio,RH,Ativo,Visitante,Atualizado
Dr. Cauã Fernandes,Operações,Inativo,Membro,Quarentena
Josué Rodrigues,Operações,Inativo,Membro,Atualizado
Antonella Novaes,Operações,Ativo,Visitante,Atualizado
Lívia Barbosa,TI,Ativo,Membro,Quarentena
Henrique Garcia,Operações,Ativo,Owner,Quarentena
Heloisa Vargas,Operações,Ativo,Owner,Atualizado
Letícia Cavalcanti,Vendas,Inativo,Membro,Quarentena
Isaque Peixoto,Operações,Inativo,Visitante,Quarentena
Davi Lucca Ferreira,Vendas,Inativo,Membro,Atualizado
Amanda Moura,Operações,Ativo,Owner,Atualizado
João Vitor Novaes,TI,Inativo,Membro,Atualizado
Miguel Cavalcanti,Vendas,Inativo,Membro,Atualizado
Elisa Souza,TI,Ativo,Membro,Atualizado
Luna Nunes,Operações,Ativo,Membro,Quarentena
Ian Mendonça,Operações,Inativo,Visitante,Quarentena
Enrico Porto,Vendas,Inativo,Visitante,Quarentena
Ana Clara da Mata,Vendas,Ativo,Membro,Quarentena
Manuella Câmara,RH,Ativo,Membro,Atualizado
Lucas Rios,Vendas,Ativo,Owner,Atualizado
Apollo Pimenta,Operações,Inativo,Visitante,Quarentena
Srta. Maria Eduarda Silveira,RH,Ativo,Visitante,Atualizado
Maria Julia Vasconcelos,Financeiro,Inativo,Membro,Quarentena
Srta. Milena Lopes,Financeiro,Ativo,Owner,Atualizado
Carlos Eduardo Machado,Marketing,Ativo,Visitante,Atualizado
Benício Albuquerque,Marketing,Inativo,Visitante,Quarentena
Henry Gabriel Fernandes,Marketing,Inativo,Visitante,Atualizado
João Guilherme Dias,Vendas,Ativo,Membro,Atualizado
Danilo Araújo,TI,Ativo,Membro,Atualizado
Enrico Sousa,Financeiro,Ativo,Membro,Quarentena
Dra. Emanuelly Castro,Financeiro,Inativo,Visitante,Atualizado
Isabela Caldeira,RH,Inativo,Visitante,Atualizado
Agatha Novaes,Marketing,Inativo,Visitante,Quarentena
Srta. Gabriela das Neves,TI,Ativo,Owner,Quarentena
Luísa Lima,RH,Ativo,Membro,Quarentena
Samuel Rocha,RH,Inativo,Visitante,Quarentena
Rafael Jesus,Vendas,Ativo,Owner,Quarentena
Hellena Ferreira,Vendas,Ativo,Visitante,Quarentena
Ryan Rezende,RH,Inativo,Visitante,Atualizado
Laís Cirino,Financeiro,Ativo,Owner,Atualizado
Davi Lucca Gonçalves,Vendas,Ativo,Owner,Atualizado
Dr. Valentim Mendes,Operações,Inativo,Membro,Quarentena
Sr. Pedro Lucas Aparecida,Financeiro,Ativo,Visitante,Quarentena
Juliana Montenegro,TI,Ativo,Visitante,Atualizado
Srta. Sophie da Cunha,Operações,Ativo,Visitante,Atualizado
Matteo Novaes,Operações,Ativo,Visitante,Atualizado
Sra. Manuella Borges,Financeiro,Inativo,Visitante,Quarentena
José Pedro Sá,Marketing,Ativo,Owner,Quarentena
Arthur Miguel Cassiano,RH,Inativo,Membro,Atualizado
Dante Porto,Marketing,Inativo,Visitante,Atualizado
Dr. Henrique Macedo,Financeiro,Ativo,Owner,Atualizado
Isaac Freitas,Operações,Inativo,Visitante,Quarentena
Julia Ferreira,Operações,Ativo,Visitante,Quarentena
Luiz Otávio Campos,RH,Ativo,Membro,Quarentena
Sr. Gustavo Henrique da Mota,Marketing,Inativo,Visitante,Atualizado
Raul Sousa,Financeiro,Inativo,Visitante,Quarentena
Matheus Teixeira,Vendas,Inativo,Visitante,Atualizado
Maria Cavalcante,Financeiro,Inativo,Membro,Atualizado
Mariane Lima,Marketing,Inativo,Visitante,Quarentena
Davi Lucas Cunha,TI,Ativo,Owner,Atualizado
José Pedro Guerra,Financeiro,Inativo,Visitante,Quarentena
Augusto Macedo,TI,Inativo,Visitante,Atualizado
Ana Beatriz Guerra,Vendas,Inativo,Membro,Quarentena
Isabela Jesus,Financeiro,Inativo,Membro,Atualizado
Srta. Amanda Lopes,TI,Ativo,Membro,Quarentena
Sophia Rezende,TI,Ativo,Membro,Quarentena
Alexandre Duarte,TI,Inativo,Visitante,Atualizado
Dr. Vicente Duarte,Financeiro,Ativo,Owner,Atualizado
Mateus Sá,TI,Inativo,Visitante,Atualizado
Lorena Pacheco,RH,Inativo,Visitante,Quarentena
Davi Melo,Operações,Inativo,Visitante,Quarentena
José Miguel Cardoso,TI,Inativo,Membro,Quarentena
João Miguel Andrade,Financeiro,Inativo,Membro,Atualizado
Dante Correia,RH,Inativo,Visitante,Quarentena
Luigi Martins,Financeiro,Inativo,Membro,Quarentena
Enrico Pires,RH,Inativo,Visitante,Quarentena
